model,gameweek,target_gameweek,position,kendall_tau,ndcg,player_count,p_value
GBReg,26,27,GK,0.5861663022314341,0.7201972350422385,81,2.3891676548363938e-11
GBReg,26,27,DEF,0.5208241198931052,0.8933236380493383,259,1.0807096486498084e-27
GBReg,26,27,MID,0.6012966821847544,0.8385890244252467,339,4.4184886133114384e-48
GBReg,26,27,FWD,0.5325885985613686,0.8137601182331451,84,4.528407309764524e-10
GBReg,26,27,ALL,0.5724963073158209,0.9152244916413281,763,2.1785233327604848e-95
GBReg,27,28,GK,0.5412337340586556,0.6994335015018207,81,7.305724332065824e-10
GBReg,27,28,DEF,0.5502167849210923,0.7538227796905238,259,1.456781160443299e-30
GBReg,27,28,MID,0.6165419073167063,0.8324387434494642,339,1.7749396033011075e-50
GBReg,27,28,FWD,0.5552819566477366,0.6124419199169142,85,8.010798578974665e-11
GBReg,27,28,ALL,0.5816865605171445,0.8044184878439021,764,2.565882088478127e-98
GBReg,28,29,GK,0.5692060910893941,0.6982762739206511,65,9.521752637888207e-09
GBReg,28,29,DEF,0.5292323791382733,0.8030098636443301,211,3.285811384583068e-23
GBReg,28,29,MID,0.5978668254801143,0.7188155004080351,273,1.5119974822612554e-38
GBReg,28,29,FWD,0.5823034555386172,0.715755877660709,74,1.3244873043225263e-10
GBReg,28,29,ALL,0.5761459391468126,0.8300691309880668,623,1.3418756007201456e-78
GBReg,29,30,GK,0.5629922681419345,0.8052967863243345,65,1.0222602916220867e-08
GBReg,29,30,DEF,0.49861271934264867,0.7435702598466527,211,7.114180890662667e-21
GBReg,29,30,MID,0.5250797079561501,0.7173166612887831,273,1.0901946795133217e-29
GBReg,29,30,FWD,0.5794762344209177,0.6944861462614061,74,2.2128504408317526e-10
GBReg,29,30,ALL,0.5338339248818665,0.7452184595567399,623,2.212170279654241e-67
LSTM,1,2,GK,0.5405702149385566,0.8402982619167774,66,2.0714660994231555e-08
LSTM,1,2,DEF,0.4931260054818278,0.8693017370699724,203,3.5746247875940027e-20
LSTM,1,2,MID,0.5895737365784073,0.8017095886764394,276,4.1418292753893836e-39
LSTM,1,2,FWD,0.6535729139087479,0.7662686817344059,71,1.1671313156641212e-12
LSTM,1,2,ALL,0.5637850808903135,0.8902883135410831,616,9.265629812772934e-77
LSTM,2,3,GK,0.40697677938878735,0.7870035978066019,67,2.1451785314569e-05
LSTM,2,3,DEF,0.5743417223903425,0.7876981398187868,205,1.6943463100758517e-26
LSTM,2,3,MID,0.5421090703624716,0.8876535348101426,283,1.1416486043482529e-33
LSTM,2,3,FWD,0.6464266792323163,0.816812732599575,72,9.274330186502429e-13
LSTM,2,3,ALL,0.5540226373968156,0.9068174999999035,627,1.266440473044991e-74
LSTM,3,4,GK,0.5109905143436818,0.7156078546648097,69,6.368605450143648e-08
LSTM,3,4,DEF,0.5037903572752902,0.8241339856213229,210,1.2578048341296826e-21
LSTM,3,4,MID,0.5197046581590626,0.7467659439986734,296,3.062907166142876e-32
LSTM,3,4,FWD,0.4446889461681606,0.7832268624771902,73,7.973404387638831e-07
LSTM,3,4,ALL,0.5123738237222029,0.865347284683988,648,1.6913482081383503e-66
LSTM,4,5,GK,0.5226986436254492,0.8885982060631176,69,3.268160067079531e-08
LSTM,4,5,DEF,0.5532289133555798,0.6894640400148648,215,7.015926877220368e-26
LSTM,4,5,MID,0.535777787477036,0.9130442509693721,302,5.944812911736816e-35
LSTM,4,5,FWD,0.5784443984296747,0.7740768847434004,73,1.062950903927873e-10
LSTM,4,5,ALL,0.5489215228478151,0.9154471877794855,659,5.799329566747124e-77
LSTM,5,6,GK,0.5663040656380032,0.7329797639359911,70,2.5436755648137297e-09
LSTM,5,6,DEF,0.4250988510818877,0.7383660669157774,215,7.575279495116427e-16
LSTM,5,6,MID,0.6201361819668527,0.8678900392619591,303,3.007019744861263e-46
LSTM,5,6,FWD,0.5623646072859886,0.7125696416220528,73,4.645650451405889e-10
