prediction_gw,target_gw,algorithm,formation,predicted_points,actual_points,actual_points_no_captaincy,avg_fpl_points,captain,captain_points,prediction_diff,prediction_diff_pct,prediction_accuracy,avg_player_diff,std_player_diff,points_vs_avg,pct_vs_avg
11,12,XGBoost,4-3-3,47.80733370780945,61,48,49,Mohamed Salah,26,-0.19266629219055176,0.4030057257911501,99.59861189126968,0.017515117471868343,4.434289936786624,12,24.489795918367353
12,13,DeepLearning,5-3-2,45.322914361953735,89,75,60,Cole Palmer,28,-29.677085638046265,65.47920859863913,60.43055248260498,2.697916876186024,5.66716875095929,29,48.33333333333334
12,13,DeepLearning,5-3-2,45.322914361953735,89,75,60,Cole Palmer,28,-29.677085638046265,65.47920859863913,60.43055248260498,2.697916876186024,5.66716875095929,29,48.33333333333334
12,13,GBReg,3-4-3,53.40324843015619,86,73,60,Mohamed Salah,26,-19.59675156984381,36.69580436754434,73.15513483583041,1.7815228699858003,5.825624495489936,26,43.333333333333336
12,13,GBReg,3-4-3,53.40324843015619,86,73,60,Mohamed Salah,26,-19.59675156984381,36.69580436754434,73.15513483583041,1.7815228699858003,5.825624495489936,26,43.333333333333336
12,13,LSTM,5-2-3,68.06194925308228,66,53,60,Mohamed Salah,26,15.061949253082275,-22.129764748693525,71.58122782437306,-1.3692681139165706,4.1159332199060135,6,10.000000000000009
12,13,LSTM,5-2-3,68.06194925308228,66,53,60,Mohamed Salah,26,15.061949253082275,-22.129764748693525,71.58122782437306,-1.3692681139165706,4.1159332199060135,6,10.000000000000009
12,13,RFReg,5-3-2,47.178748869173866,53,40,60,Mohamed Salah,26,7.178748869173866,-15.216064523203986,82.05312782706532,-0.6526135335612608,4.263767615687586,-7,-11.66666666666667
12,13,RFReg,5-3-2,47.178748869173866,53,40,60,Mohamed Salah,26,7.178748869173866,-15.216064523203986,82.05312782706532,-0.6526135335612608,4.263767615687586,-7,-11.66666666666667
12,13,Ridge,5-3-2,50.56473028960641,78,65,60,Mohamed Salah,26,-14.435269710393591,28.54809988645537,77.79189275324063,1.3122972463994174,5.553345067296158,18,30.000000000000004
12,13,Ridge,5-3-2,50.56473028960641,78,65,60,Mohamed Salah,26,-14.435269710393591,28.54809988645537,77.79189275324063,1.3122972463994174,5.553345067296158,18,30.000000000000004
12,13,XGBoost,4-3-3,52.70093822479248,72,59,60,Mohamed Salah,26,-6.2990617752075195,11.952466099065017,89.32362410981777,0.57264197956432,5.636732971023854,12,19.999999999999996
12,13,XGBoost,4-3-3,52.70093822479248,72,59,60,Mohamed Salah,26,-6.2990617752075195,11.952466099065017,89.32362410981777,0.57264197956432,5.636732971023854,12,19.999999999999996
